Job Class,Percentage,Link
Management,6.1,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.indeed.com/career-advice/finding-a-job/getting-into-management&ved=2ahUKEwiHuKOQwvyIAxWKKFkFHXHRFGwQFnoECBQQAw&usg=AOvVaw2HKN8Nd7wAD9AQYPYl8HX8
Business and Financial operations,5,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://learn.microsoft.com/en-us/training/paths/get-started-finance-operations/&ved=2ahUKEwifzo6YwvyIAxVwD1kFHQgAIzsQFnoECBwQAQ&usg=AOvVaw2QNjHc4RyTVCTtfVAA-9Tl
Computer and Mathematical,2.7,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://openlearninglibrary.mit.edu/courses/course-v1:OCW%2B6.042J%2B2T2019/about&ved=2ahUKEwjP65ahwvyIAxVjMlkFHZtYJ-MQFnoECDQQAQ&usg=AOvVaw3dvG-7d_rWl6dbUpaR7BbA
Architecture and Engineering,1.7,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.indeed.com/career-advice/careers/what-does-an-architectural-engineer-do&ved=2ahUKEwjBtJGtwvyIAxWyFlkFHbXfCPIQFnoECBMQAw&usg=AOvVaw3B-uF5gT0ind6GsRrK6zEl
"Life, Physical and Social Science",0.9,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.bls.gov/ooh/life-physical-and-social-science/&ved=2ahUKEwjNjpG4wvyIAxWLL1kFHfsJJXwQFnoECBMQAQ&usg=AOvVaw1cHGpYLaQcUW_Pqkv7Mz9b
Community and Social Service,1.6,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://socialworklicensemap.com/social-work-licensure/become-a-social-worker-in-new-york/&ved=2ahUKEwjHrb_AwvyIAxU5FlkFHSoIB84QFnoECBoQAQ&usg=AOvVaw2lMV30kXajfpLAa6MPTEgs
Legal,0.8,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.linkedin.com/pulse/how-get-your-first-legal-job-practical-guide-adrian-cartland&ved=2ahUKEwizhtrFwvyIAxUiK1kFHfbjDhkQFnoECBUQAQ&usg=AOvVaw2_ydJ90B0cqo9rb_S9PwcH
"Education, training and library",6.1,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.bls.gov/ooh/education-training-and-library/&ved=2ahUKEwishIzKwvyIAxVDF1kFHb7CMdMQFnoECCwQAQ&usg=AOvVaw1vvz410oZTXLmSwsUwnZqi
"Arts, design, entertainment, sports and media",1.7,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.bls.gov/oes/current/oes270000.htm&ved=2ahUKEwjdir3TwvyIAxV3FlkFHXF_OmAQFnoECBIQAQ&usg=AOvVaw2yEw9hG6ZdzKqIg_w12jTd
Healthcare practioners and technical,5.5,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.indeed.com/career-advice/finding-a-job/how-to-become-a-healthcare-practitioner&ved=2ahUKEwjRt9PYwvyIAxU5ElkFHUtNGW4QFnoECCEQAQ&usg=AOvVaw3FhdYHa_bmb2PCCwvFXL0w
Healthcare support,2.8,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.indeed.com/career-advice/finding-a-job/hospital-jobs-no-experience&ved=2ahUKEwjK493dwvyIAxUeElkFHRa-LD0QFnoECBwQAw&usg=AOvVaw3uLXJ4WPldHjImWZ4f6UnP
Protective service,2.3,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.ziprecruiter.com/career/Protective-Services-Officer/What-Is-How-to-Become&ved=2ahUKEwjo6JfmwvyIAxW1EmIAHTLyLGUQFnoECBIQAw&usg=AOvVaw2WjjJndLnFzkYk_45bfTYT
Food preparation and serving,8.3,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.nyc.gov/site/sbs/careers/food-service.page&ved=2ahUKEwiehrbxwvyIAxU0MVkFHYF5BokQFnoECB8QAQ&usg=AOvVaw3dLmUjnJZyf8P-FbsUc6H8
Building and grounds cleaning and maintenance,3.7,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.bls.gov/ooh/building-and-grounds-cleaning/&ved=2ahUKEwikxrf1wvyIAxVQElkFHTdqBCsQFnoECBUQAQ&usg=AOvVaw12CRANma3aidmfXVJ-SJI3
Personal care and service,4,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://thebestschools.org/careers/career-guide/personal-care-careers/&ved=2ahUKEwiP1ZCAw_yIAxX1E1kFHUPNI0gQFnoECBgQAw&usg=AOvVaw1nAOfUO9-yfr46YhqVyyuw
Sales,10.2,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.indeed.com/career-advice/finding-a-job/how-to-start-sales-career&ved=2ahUKEwjthPyEw_yIAxV8GlkFHQ3EDm8QFnoECCAQAQ&usg=AOvVaw0c9lztCFhX4xTqLF50dFap
Office and administrative support,15.1,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.smartypal.com/business/administrative-assistant/how-to-become-an-administrative-assistant-with-no-experience/&ved=2ahUKEwjJmeiLw_yIAxVcFlkFHb5rIOIQFnoECA4QAw&usg=AOvVaw2Yr2YE83kWYfDtM3p3CLN2
"Farming, fishing and forestry",0.6,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.bls.gov/ooh/farming-fishing-and-forestry/&ved=2ahUKEwio0vOSw_yIAxUVEVkFHZ-bGgIQFnoECBwQAQ&usg=AOvVaw1EfB6m8s-E9F9oJC5r2zv7
Construction and extraction,4.3,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.indeed.com/career-advice/construction-extraction&ved=2ahUKEwjv5OuYw_yIAxVyKlkFHe7NCagQFnoECBYQAQ&usg=AOvVaw3LVPs0XEKnyhT2fuGs9Oy3
"Installation, maintenance and repair",3.8,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.bls.gov/ooh/installation-maintenance-and-repair/&ved=2ahUKEwjowqudw_yIAxWJEFkFHXxWKYQQFnoECBIQAQ&usg=AOvVaw3LaJCoVXw9fQHLDV9agp5z
Production,6.1,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.indeed.com/career-advice/finding-a-job/how-to-get-in-the-film-industry&ved=2ahUKEwiaiOOhw_yIAxVfKVkFHdBMCDkQFnoECBIQAw&usg=AOvVaw050IiFEyRKti3JCvaXErUT
Transportation and material moving,6.5,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.bls.gov/ooh/transportation-and-material-moving/&ved=2ahUKEwiT6-ulw_yIAxUXEFkFHY99NhMQFnoECBMQAQ&usg=AOvVaw3EJJfq7j0OD2_BbEi7zGhd
Total,99.8,
